@RELATION svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {trainingData/older-angry,trainingData/older-happy,trainingData/young-sad}

@DATA
0.091224,0.036008,3.107264,0.219089,0.227236,0.673634,0.027338,0.160006,-28.156493,1.721962,-0.613173,-0.231315,-0.633592,0.155291,0.234712,0.005397,-0.251241,-0.279088,-0.365948,-0.207571,-0.004716,0.020551,0.004303,0.022638,0.029974,0.048038,0.003009,0.020300,0.002417,0.002733,0.011025,0.004737,0.004633,0.031990,0.100069,0.047105,0.246555,0.127611,0.052069,0.625213,0.020899,0.206667,4.534243,1.077481,0.972237,0.594047,0.488342,0.420532,0.397532,0.302607,0.347785,0.324496,0.470532,0.398154,0.456118,0.043533,0.008655,0.036834,0.035467,0.059004,0.005836,0.036718,0.005031,0.005658,0.022981,0.006340,0.007474,0.017282,trainingData/older-angry
0.084169,0.041724,3.131999,0.169570,0.192625,0.597897,0.027812,0.137716,-26.159175,1.951002,-1.251990,-0.238160,-0.578846,0.208897,0.083224,-0.271121,-0.381577,-0.402262,-0.390989,0.041457,0.096662,0.020402,0.004833,0.015931,0.021203,0.045956,0.016448,0.008274,0.006120,0.004312,0.011800,0.006093,0.005155,0.027960,0.084543,0.051391,0.207657,0.083035,0.034533,0.604150,0.022334,0.149118,3.109971,1.433010,0.875877,0.690313,0.850189,0.491889,0.420061,0.344597,0.471275,0.297390,0.395212,0.424135,0.469409,0.057329,0.008685,0.026064,0.032290,0.050617,0.025868,0.010752,0.010650,0.007434,0.022767,0.008311,0.005879,0.017869,trainingData/older-angry
0.090041,0.019240,2.992222,0.205891,0.212827,0.766665,0.044482,0.156803,-28.234746,1.323013,-0.463278,-0.302246,-0.387461,0.171492,-0.071070,-0.082432,-0.463036,-0.293240,-0.079773,0.157512,0.101348,0.001671,0.001514,0.010109,0.021180,0.073811,0.015514,0.034376,0.009646,0.007661,0.000961,0.002043,0.000872,0.031809,0.089741,0.028118,0.301172,0.102973,0.026741,0.703265,0.054356,0.168097,4.317647,1.075831,1.048809,0.530406,0.540918,0.438448,0.407273,0.409192,0.426425,0.268836,0.313177,0.346136,0.264433,0.001852,0.001930,0.019475,0.047439,0.056198,0.024357,0.045427,0.013042,0.017850,0.000882,0.002338,0.000698,0.013051,trainingData/older-angry
0.074816,0.036423,3.115975,0.160022,0.189489,0.590516,0.025512,0.112596,-26.879187,2.169605,-0.557318,0.114461,-1.047253,0.188729,0.164756,-0.249560,-0.265212,-0.417294,-0.322378,-0.172019,-0.017679,0.023174,0.002709,0.027395,0.032094,0.030374,0.005390,0.016655,0.005312,0.005540,0.013620,0.009689,0.004163,0.028421,0.076446,0.044589,0.241979,0.072952,0.028190,0.547237,0.015041,0.111204,3.309666,0.999247,1.236017,0.570803,0.782689,0.383536,0.533079,0.378748,0.390960,0.315509,0.435166,0.428137,0.478754,0.053264,0.005944,0.041389,0.043517,0.046332,0.006154,0.031616,0.011539,0.009038,0.020291,0.011682,0.010114,0.016095,trainingData/older-angry
0.104959,0.024661,3.092911,0.233067,0.220114,0.717649,0.021120,0.181721,-27.336303,1.392512,-0.474165,-0.263301,-0.105756,0.286459,-0.292083,-0.267356,-0.389087,-0.312968,-0.223473,0.193116,0.095486,0.014025,0.001375,0.010454,0.009866,0.052998,0.043620,0.031383,0.005828,0.002856,0.002753,0.007937,0.003648,0.032951,0.128383,0.037756,0.235799,0.129290,0.036174,0.744873,0.015053,0.211440,3.516875,0.859040,1.300934,0.650793,0.401994,0.347255,0.415091,0.343835,0.478762,0.296358,0.426511,0.380915,0.406220,0.034284,0.001815,0.020431,0.022810,0.053984,0.054561,0.040770,0.012588,0.004490,0.003573,0.014765,0.006192,0.014715,trainingData/older-angry
0.074426,0.026883,3.125592,0.177757,0.203208,0.652708,0.028293,0.118975,-27.310088,1.761613,-0.672734,-0.008226,-0.336083,-0.037906,-0.150058,-0.283419,-0.683835,-0.315327,-0.282263,0.155897,0.228806,0.012348,0.001436,0.018707,0.026794,0.035220,0.032465,0.033401,0.003715,0.006773,0.012855,0.007364,0.002313,0.030238,0.073489,0.044997,0.164077,0.068184,0.027427,0.575855,0.016674,0.121192,3.347963,1.040476,1.184430,0.493378,0.409980,0.535740,0.449361,0.387174,0.390473,0.349447,0.434481,0.470560,0.493683,0.022702,0.001973,0.031238,0.045750,0.038185,0.044032,0.047311,0.006014,0.011714,0.017999,0.016417,0.003694,0.014562,trainingData/older-angry
0.102152,0.031339,3.133132,0.209251,0.222842,0.534606,0.024251,0.155000,-26.712295,2.347196,-0.099175,-0.337858,-0.412979,-0.241655,-0.086045,0.021219,-0.054277,-0.121765,-0.134388,-0.038739,-0.160218,0.032285,0.005931,0.030782,0.018055,0.029076,0.005258,0.024093,0.002265,0.009588,0.016132,0.026835,0.007575,0.033419,0.110797,0.033574,0.252397,0.125360,0.035414,0.656236,0.023258,0.195763,3.462814,1.358146,0.798339,0.536893,0.478209,0.527163,0.404649,0.489400,0.435515,0.402086,0.420998,0.353633,0.327830,0.058930,0.014567,0.058705,0.026193,0.029332,0.007879,0.048641,0.007106,0.023519,0.021860,0.038343,0.014520,0.017297,trainingData/older-happy
0.097848,0.025308,3.209830,0.177127,0.199035,0.465421,0.026540,0.144727,-26.718033,2.868772,-0.268731,-0.265337,-0.496309,-0.314023,-0.220615,0.081552,0.103117,0.087452,-0.073772,-0.137516,-0.229290,0.028936,0.021209,0.012497,0.004826,0.011772,0.007450,0.022117,0.002613,0.010895,0.022467,0.030239,0.015829,0.027923,0.119764,0.024324,0.146334,0.119198,0.035473,0.648228,0.025177,0.187622,3.017613,1.391583,0.816786,0.499871,0.478829,0.442578,0.600710,0.425565,0.354618,0.346175,0.467885,0.370821,0.264409,0.050977,0.038935,0.012701,0.005735,0.015042,0.016237,0.031170,0.007731,0.023684,0.027372,0.044152,0.030350,0.013102,trainingData/older-happy
0.107418,0.017213,3.026239,0.205210,0.222469,0.718608,0.072508,0.161257,-29.284889,1.767885,0.257629,-0.135246,-0.245323,0.099653,-0.086043,0.126545,-0.078865,-0.104640,-0.221282,0.124539,-0.099953,0.018761,0.003860,0.021827,0.010235,0.058336,0.014345,0.034364,0.001500,0.004262,0.007967,0.015606,0.002366,0.031497,0.120810,0.022087,0.232291,0.123668,0.037406,0.836782,0.072057,0.202394,3.474148,1.177545,0.624255,0.441269,0.343920,0.337990,0.351515,0.297810,0.290782,0.392753,0.314207,0.291944,0.265504,0.035002,0.009485,0.035276,0.018504,0.043196,0.026525,0.027295,0.003029,0.007064,0.011528,0.030570,0.003810,0.012443,trainingData/older-happy
0.091942,0.030672,3.136372,0.197577,0.224270,0.529937,0.020813,0.150647,-26.755465,2.246000,-0.212036,-0.074858,-0.494982,-0.211055,-0.136913,0.007823,-0.060154,-0.071388,-0.087858,-0.120859,-0.183156,0.027759,0.008817,0.015653,0.009877,0.033404,0.007672,0.019233,0.001507,0.005475,0.021229,0.032064,0.004763,0.028879,0.109597,0.038040,0.202646,0.101654,0.034005,0.675219,0.016089,0.190793,3.387115,1.175406,0.722523,0.518212,0.471725,0.463657,0.498506,0.349790,0.316773,0.431280,0.391910,0.382179,0.307255,0.048705,0.018114,0.023897,0.016480,0.044233,0.019896,0.022864,0.004044,0.011305,0.030563,0.048688,0.010133,0.017233,trainingData/older-happy
